Pos,No,Driver,Team,Laps,Time,Grid,Pts,Season,Race,RaceNo
20,24,Timo Glock,Marussia-Cosworth,58,+2 Laps,21,0,2012,India,17
21,23,Narain Karthikeyan,HRT-Cosworth,58,+2 Laps,23,0,2012,India,17
22,7,Michael Schumacher,Mercedes,55,Gearbox,14,0,2012,India,17
Ret,22,Pedro de la Rosa,HRT-Cosworth,42,Brakes,22,0,2012,India,17
Ret,15,Sergio Perez,Sauber-Ferrari,20,Puncture damage,8,0,2012,India,17
1,9,Kimi Räikkönen,Lotus-Renault,55,1:45:58.667,4,25,2012,Abu Dhabi,18
2,5,Fernando Alonso,Ferrari,55,+0.8 secs,6,18,2012,Abu Dhabi,18
3,1,Sebastian Vettel,Red Bull Racing-Renault,55,+4.1 secs,24,15,2012,Abu Dhabi,18
4,3,Jenson Button,McLaren-Mercedes,55,+7.7 secs,5,12,2012,Abu Dhabi,18
5,18,Pastor Maldonado,Williams-Renault,55,+13.0 secs,3,10,2012,Abu Dhabi,18
6,14,Kamui Kobayashi,Sauber-Ferrari,55,+20.0 secs,15,8,2012,Abu Dhabi,18
7,6,Felipe Massa,Ferrari,55,+22.8 secs,8,6,2012,Abu Dhabi,18
8,19,Bruno Senna,Williams-Renault,55,+23.5 secs,14,4,2012,Abu Dhabi,18
9,11,Paul di Resta,Force India-Mercedes,55,+24.1 secs,12,2,2012,Abu Dhabi,18
10,16,Daniel Ricciardo,STR-Ferrari,55,+27.4 secs,16,1,2012,Abu Dhabi,18
11,7,Michael Schumacher,Mercedes,55,+28.0 secs,13,0,2012,Abu Dhabi,18
12,17,Jean-Eric Vergne,STR-Ferrari,55,+34.9 secs,17,0,2012,Abu Dhabi,18
13,20,Heikki Kovalainen,Caterham-Renault,55,+47.7 secs,18,0,2012,Abu Dhabi,18
14,24,Timo Glock,Marussia-Cosworth,55,+56.4 secs,21,0,2012,Abu Dhabi,18
15,15,Sergio Perez,Sauber-Ferrari,55,+56.7 secs,11,0,2012,Abu Dhabi,18
16,21,Vitaly Petrov,Caterham-Renault,55,+64.5 secs,20,0,2012,Abu Dhabi,18
17,22,Pedro de la Rosa,HRT-Cosworth,55,+71.7 secs,22,0,2012,Abu Dhabi,18
Ret,25,Charles Pic,Marussia-Cosworth,41,Engine,19,0,2012,Abu Dhabi,18
Ret,10,Romain Grosjean,Lotus-Renault,37,Accident,9,0,2012,Abu Dhabi,18
Ret,2,Mark Webber,Red Bull Racing-Renault,37,Accident,2,0,2012,Abu Dhabi,18
Ret,4,Lewis Hamilton,McLaren-Mercedes,19,Fuel pressure,1,0,2012,Abu Dhabi,18
Ret,23,Narain Karthikeyan,HRT-Cosworth,7,Accident,23,0,2012,Abu Dhabi,18
Ret,8,Nico Rosberg,Mercedes,7,Accident,7,0,2012,Abu Dhabi,18
Ret,12,Nico Hulkenberg,Force India-Mercedes,0,Accident,10,0,2012,Abu Dhabi,18
1,4,Lewis Hamilton,McLaren-Mercedes,56,1:35:55.269,2,25,2012,United States,19
2,1,Sebastian Vettel,Red Bull Racing-Renault,56,+0.6 secs,1,18,2012,United States,19
3,5,Fernando Alonso,Ferrari,56,+39.2 secs,7,15,2012,United States,19
4,6,Felipe Massa,Ferrari,56,+46.0 secs,11,12,2012,United States,19
5,3,Jenson Button,McLaren-Mercedes,56,+56.4 secs,12,10,2012,United States,19
6,9,Kimi Räikkönen,Lotus-Renault,56,+64.4 secs,4,8,2012,United States,19
7,10,Romain Grosjean,Lotus-Renault,56,+70.3 secs,8,6,2012,United States,19
8,12,Nico Hulkenberg,Force India-Mercedes,56,+73.7 secs,6,4,2012,United States,19
9,18,Pastor Maldonado,Williams-Renault,56,+74.5 secs,9,2,2012,United States,19
10,19,Bruno Senna,Williams-Renault,56,+75.1 secs,10,1,2012,United States,19
11,15,Sergio Perez,Sauber-Ferrari,56,+84.3 secs,15,0,2012,United States,19
12,16,Daniel Ricciardo,STR-Ferrari,56,+84.8 secs,18,0,2012,United States,19
13,8,Nico Rosberg,Mercedes,56,+85.5 secs,17,0,2012,United States,19
14,14,Kamui Kobayashi,Sauber-Ferrari,55,+1 Lap,16,0,2012,United States,19
15,11,Paul di Resta,Force India-Mercedes,55,+1 Lap,13,0,2012,United States,19
16,7,Michael Schumacher,Mercedes,55,+1 Lap,5,0,2012,United States,19
17,21,Vitaly Petrov,Caterham-Renault,55,+1 Lap,21,0,2012,United States,19
18,20,Heikki Kovalainen,Caterham-Renault,55,+1 Lap,22,0,2012,United States,19
19,24,Timo Glock,Marussia-Cosworth,55,+1 Lap,19,0,2012,United States,19
20,25,Charles Pic,Marussia-Cosworth,54,+2 Laps,20,0,2012,United States,19
21,22,Pedro de la Rosa,HRT-Cosworth,54,+2 Laps,23,0,2012,United States,19
22,23,Narain Karthikeyan,HRT-Cosworth,54,+2 Laps,24,0,2012,United States,19
Ret,2,Mark Webber,Red Bull Racing-Renault,16,Alternator,3,0,2012,United States,19
Ret,17,Jean-Eric Vergne,STR-Ferrari,14,Suspension,14,0,2012,United States,19
1,3,Jenson Button,McLaren-Mercedes,71,1:45:22.656,2,25,2012,Brasil,20
2,5,Fernando Alonso,Ferrari,71,+2.7 secs,7,18,2012,Brasil,20
3,6,Felipe Massa,Ferrari,71,+3.6 secs,5,15,2012,Brasil,20
4,2,Mark Webber,Red Bull Racing-Renault,71,+4.9 secs,3,12,2012,Brasil,20
5,12,Nico Hulkenberg,Force India-Mercedes,71,+5.7 secs,6,10,2012,Brasil,20
6,1,Sebastian Vettel,Red Bull Racing-Renault,71,+9.4 secs,4,8,2012,Brasil,20
7,7,Michael Schumacher,Mercedes,71,+11.9 secs,13,6,2012,Brasil,20
8,17,Jean-Eric Vergne,STR-Ferrari,71,+28.6 secs,17,4,2012,Brasil,20
9,14,Kamui Kobayashi,Sauber-Ferrari,71,+31.2 secs,14,2,2012,Brasil,20
10,9,Kimi Räikkönen,Lotus-Renault,70,+1 Lap,8,1,2012,Brasil,20
11,21,Vitaly Petrov,Caterham-Renault,70,+1 Lap,19,0,2012,Brasil,20
12,25,Charles Pic,Marussia-Cosworth,70,+1 Lap,22,0,2012,Brasil,20
13,16,Daniel Ricciardo,STR-Ferrari,70,+1 Lap,15,0,2012,Brasil,20
14,20,Heikki Kovalainen,Caterham-Renault,70,+1 Lap,20,0,2012,Brasil,20
15,8,Nico Rosberg,Mercedes,70,+1 Lap,9,0,2012,Brasil,20
16,24,Timo Glock,Marussia-Cosworth,70,+1 Lap,21,0,2012,Brasil,20
17,22,Pedro de la Rosa,HRT-Cosworth,69,+2 Laps,24,0,2012,Brasil,20
18,23,Narain Karthikeyan,HRT-Cosworth,69,+2 Laps,23,0,2012,Brasil,20
19,11,Paul di Resta,Force India-Mercedes,68,+3 Laps,10,0,2012,Brasil,20
Ret,4,Lewis Hamilton,McLaren-Mercedes,54,Accident,1,0,2012,Brasil,20
Ret,10,Romain Grosjean,Lotus-Renault,5,Accident,18,0,2012,Brasil,20
Ret,18,Pastor Maldonado,Williams-Renault,1,Accident,16,0,2012,Brasil,20
Ret,19,Bruno Senna,Williams-Renault,0,Accident,11,0,2012,Brasil,20
Ret,15,Sergio Perez,Sauber-Ferrari,0,Accident,12,0,2012,Brasil,20
