Pos,No,Driver,Team,Laps,Time,Grid,Pts,Season,Race,RaceNo
Ret,9,Nick Heidfeld,Renault,55,Accident,9,0,2011,Canada,7
Ret,14,Adrian Sutil,Force India-Mercedes,49,Accident,14,0,2011,Canada,7
Ret,5,Fernando Alonso,Ferrari,36,Accident,2,0,2011,Canada,7
Ret,20,Heikki Kovalainen,Lotus-Renault,28,Driveshaft,19,0,2011,Canada,7
Ret,3,Lewis Hamilton,McLaren-Mercedes,7,Accident,5,0,2011,Canada,7
1,1,Sebastian Vettel,Red Bull Racing-Renault,66,1:39:03.301,2,25,2011,Spain,8
1,1,Sebastian Vettel,Red Bull Racing-Renault,57,1:39:36.169,1,25,2011,Europe,8
2,3,Lewis Hamilton,McLaren-Mercedes,66,+0.6 secs,3,18,2011,Spain,8
2,5,Fernando Alonso,Ferrari,57,+10.8 secs,4,18,2011,Europe,8
3,4,Jenson Button,McLaren-Mercedes,66,+35.6 secs,5,15,2011,Spain,8
3,2,Mark Webber,Red Bull Racing-Renault,57,+27.2 secs,2,15,2011,Europe,8
4,2,Mark Webber,Red Bull Racing-Renault,66,+47.9 secs,1,12,2011,Spain,8
4,3,Lewis Hamilton,McLaren-Mercedes,57,+46.1 secs,3,12,2011,Europe,8
5,5,Fernando Alonso,Ferrari,65,+1 Lap,4,10,2011,Spain,8
5,6,Felipe Massa,Ferrari,57,+51.7 secs,5,10,2011,Europe,8
6,7,Michael Schumacher,Mercedes,65,+1 Lap,10,8,2011,Spain,8
6,4,Jenson Button,McLaren-Mercedes,57,+60.0 secs,6,8,2011,Europe,8
7,8,Nico Rosberg,Mercedes,65,+1 Lap,7,6,2011,Spain,8
7,8,Nico Rosberg,Mercedes,57,+98.0 secs,7,6,2011,Europe,8
8,9,Nick Heidfeld,Renault,65,+1 Lap,24,4,2011,Spain,8
8,19,Jaime Alguersuari,STR-Ferrari,56,+1 Lap,18,4,2011,Europe,8
9,17,Sergio Perez,Sauber-Ferrari,65,+1 Lap,12,2,2011,Spain,8
9,14,Adrian Sutil,Force India-Mercedes,56,+1 Lap,10,2,2011,Europe,8
10,16,Kamui Kobayashi,Sauber-Ferrari,65,+1 Lap,14,1,2011,Spain,8
10,9,Nick Heidfeld,Renault,56,+1 Lap,9,1,2011,Europe,8
11,10,Vitaly Petrov,Renault,65,+1 Lap,6,0,2011,Spain,8
11,17,Sergio Perez,Sauber-Ferrari,56,+1 Lap,16,0,2011,Europe,8
12,15,Paul di Resta,Force India-Mercedes,65,+1 Lap,16,0,2011,Spain,8
12,11,Rubens Barrichello,Williams-Cosworth,56,+1 Lap,13,0,2011,Europe,8
13,14,Adrian Sutil,Force India-Mercedes,65,+1 Lap,17,0,2011,Spain,8
13,18,Sebastien Buemi,STR-Ferrari,56,+1 Lap,17,0,2011,Europe,8
14,18,Sebastien Buemi,STR-Ferrari,65,+1 Lap,11,0,2011,Spain,8
14,15,Paul di Resta,Force India-Mercedes,56,+1 Lap,12,0,2011,Europe,8
15,12,Pastor Maldonado,Williams-Cosworth,65,+1 Lap,9,0,2011,Spain,8
15,10,Vitaly Petrov,Renault,56,+1 Lap,11,0,2011,Europe,8
16,19,Jaime Alguersuari,STR-Ferrari,64,+2 Laps,13,0,2011,Spain,8
